date Wed May 14 04:10:07.149 PM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Wed May 14 04:10:07.185 PM 2025
 0.000000 Start of measurement
 0.000000 1  ErrorFrame
 0.001298 1  ErrorFrame
 0.002441 1  ErrorFrame
 0.003763 1  ErrorFrame
 0.005228 1  ErrorFrame
 0.006345 1  ErrorFrame
 0.007592 1  ErrorFrame
 0.008866 1  ErrorFrame
 0.010394 1  ErrorFrame
 0.011774 1  ErrorFrame
 0.013052 1  ErrorFrame
 0.014067 1  ErrorFrame
 0.014100 1  ErrorFrame
 0.015241 1  ErrorFrame
 0.016508 1  ErrorFrame
 0.017788 1  ErrorFrame
 0.019082 1  ErrorFrame
 0.019131 1  ErrorFrame
 0.020460 1  ErrorFrame
 0.021804 1  ErrorFrame
 0.023137 1  ErrorFrame
 0.024531 1  ErrorFrame
 0.025873 1  ErrorFrame
 0.027221 1  ErrorFrame
 0.028572 1  ErrorFrame
 0.029916 1  ErrorFrame
 0.031287 1  ErrorFrame
 0.032659 1  ErrorFrame
 0.034004 1  ErrorFrame
 0.035374 1  ErrorFrame
 0.036763 1  ErrorFrame
 0.038157 1  ErrorFrame
 0.039520 1  ErrorFrame
 0.040989 1  ErrorFrame
 0.042301 1  ErrorFrame
 0.043565 1  ErrorFrame
 0.045214 1  ErrorFrame
 0.046330 1  ErrorFrame
 0.047612 1  ErrorFrame
 0.049085 1  ErrorFrame
 0.050367 1  ErrorFrame
 0.051744 1  ErrorFrame
 0.053187 1  ErrorFrame
 0.054444 1  ErrorFrame
 0.055930 1  ErrorFrame
 0.057167 1  ErrorFrame
 0.058527 1  ErrorFrame
 0.059883 1  ErrorFrame
 0.061192 1  ErrorFrame
 0.062525 1  ErrorFrame
 0.063878 1  ErrorFrame
 0.065238 1  ErrorFrame
 0.066638 1  ErrorFrame
 0.067991 1  ErrorFrame
 0.069330 1  ErrorFrame
 0.070680 1  ErrorFrame
 0.072068 1  ErrorFrame
 0.073417 1  ErrorFrame
 0.074762 1  ErrorFrame
 0.076126 1  ErrorFrame
 0.077492 1  ErrorFrame
 0.078844 1  ErrorFrame
 0.080203 1  ErrorFrame
 0.081568 1  ErrorFrame
 0.082929 1  ErrorFrame
 0.084280 1  ErrorFrame
 0.085639 1  ErrorFrame
 0.086998 1  ErrorFrame
 0.088392 1  ErrorFrame
 0.089730 1  ErrorFrame
 0.091076 1  ErrorFrame
 0.092409 1  ErrorFrame
 0.093760 1  ErrorFrame
 0.095118 1  ErrorFrame
 0.096477 1  ErrorFrame
 0.097867 1  ErrorFrame
 0.099207 1  ErrorFrame
 0.100581 1  ErrorFrame
 0.101921 1  ErrorFrame
 0.103274 1  ErrorFrame
 0.104648 1  ErrorFrame
 0.106007 1  ErrorFrame
 0.107358 1  ErrorFrame
 0.108732 1  ErrorFrame
 0.110082 1  ErrorFrame
 0.111440 1  ErrorFrame
 0.112795 1  ErrorFrame
 0.114168 1  ErrorFrame
 0.115518 1  ErrorFrame
 0.116880 1  ErrorFrame
 0.118241 1  ErrorFrame
 0.119597 1  ErrorFrame
 0.120986 1  ErrorFrame
 0.122337 1  ErrorFrame
 0.123688 1  ErrorFrame
 0.125050 1  ErrorFrame
 0.126397 1  ErrorFrame
 0.127754 1  ErrorFrame
 0.129136 1  ErrorFrame
 0.130481 1  ErrorFrame
 0.131836 1  ErrorFrame
 0.133205 1  ErrorFrame
 0.134556 1  ErrorFrame
 0.135917 1  ErrorFrame
 0.137279 1  ErrorFrame
 0.138672 1  ErrorFrame
 0.139998 1  ErrorFrame
 0.141356 1  ErrorFrame
 0.142716 1  ErrorFrame
 0.144076 1  ErrorFrame
 0.145437 1  ErrorFrame
 0.146802 1  ErrorFrame
 0.148160 1  ErrorFrame
 0.149530 1  ErrorFrame
 0.150906 1  ErrorFrame
 0.152244 1  ErrorFrame
 0.153598 1  ErrorFrame
 0.154960 1  ErrorFrame
 0.156340 1  ErrorFrame
 0.157682 1  ErrorFrame
 0.159041 1  ErrorFrame
 0.160399 1  ErrorFrame
 0.161761 1  ErrorFrame
 0.163118 1  ErrorFrame
 0.164474 1  ErrorFrame
 0.165838 1  ErrorFrame
 0.167197 1  ErrorFrame
 0.168556 1  ErrorFrame
 0.169932 1  ErrorFrame
 0.171291 1  ErrorFrame
 0.172657 1  ErrorFrame
 0.174000 1  ErrorFrame
 0.175358 1  ErrorFrame
 0.176716 1  ErrorFrame
 0.178082 1  ErrorFrame
 0.179435 1  ErrorFrame
 0.180793 1  ErrorFrame
 0.182162 1  ErrorFrame
 0.183518 1  ErrorFrame
 0.184877 1  ErrorFrame
 0.186236 1  ErrorFrame
 0.187625 1  ErrorFrame
 0.189011 1  ErrorFrame
 0.190331 1  ErrorFrame
 0.191679 1  ErrorFrame
 0.193044 1  ErrorFrame
 0.194407 1  ErrorFrame
 0.195756 1  ErrorFrame
 0.197124 1  ErrorFrame
 0.198476 1  ErrorFrame
 0.199838 1  ErrorFrame
 0.201227 1  ErrorFrame
 0.202569 1  ErrorFrame
 0.203919 1  ErrorFrame
 0.205294 1  ErrorFrame
 0.206637 1  ErrorFrame
 0.207999 1  ErrorFrame
 0.209356 1  ErrorFrame
 0.210736 1  ErrorFrame
 0.212082 1  ErrorFrame
 0.213441 1  ErrorFrame
 0.214804 1  ErrorFrame
 0.216157 1  ErrorFrame
 0.217517 1  ErrorFrame
 0.218885 1  ErrorFrame
 0.220240 1  ErrorFrame
 0.221619 1  ErrorFrame
 0.222958 1  ErrorFrame
 0.224317 1  ErrorFrame
 0.225680 1  ErrorFrame
 0.227044 1  ErrorFrame
 0.228398 1  ErrorFrame
 0.229757 1  ErrorFrame
 0.231132 1  ErrorFrame
 0.232480 1  ErrorFrame
 0.233837 1  ErrorFrame
 0.235200 1  ErrorFrame
 0.236562 1  ErrorFrame
 0.237933 1  ErrorFrame
 0.239281 1  ErrorFrame
 0.240637 1  ErrorFrame
 0.242003 1  ErrorFrame
 0.243358 1  ErrorFrame
 0.244717 1  ErrorFrame
 0.246078 1  ErrorFrame
 0.247441 1  ErrorFrame
 0.248798 1  ErrorFrame
 0.250165 1  ErrorFrame
 0.251549 1  ErrorFrame
 0.252902 1  ErrorFrame
 0.254242 1  ErrorFrame
 0.255610 1  ErrorFrame
 0.256999 1  ErrorFrame
 0.258324 1  ErrorFrame
 0.259678 1  ErrorFrame
 0.261043 1  ErrorFrame
 0.262398 1  ErrorFrame
 0.263756 1  ErrorFrame
 0.265120 1  ErrorFrame
 0.266477 1  ErrorFrame
 0.267841 1  ErrorFrame
 0.269203 1  ErrorFrame
 0.270556 1  ErrorFrame
 0.271959 1  ErrorFrame
 0.273280 1  ErrorFrame
 0.274639 1  ErrorFrame
 0.275999 1  ErrorFrame
 0.277355 1  ErrorFrame
 0.278716 1  ErrorFrame
 0.280076 1  ErrorFrame
 0.281456 1  ErrorFrame
 0.282797 1  ErrorFrame
 0.284158 1  ErrorFrame
 0.285516 1  ErrorFrame
 0.286880 1  ErrorFrame
 0.288241 1  ErrorFrame
 0.289611 1  ErrorFrame
 0.290961 1  ErrorFrame
 0.292331 1  ErrorFrame
 0.293681 1  ErrorFrame
 0.295036 1  ErrorFrame
 0.296396 1  ErrorFrame
 0.297755 1  ErrorFrame
 0.299123 1  ErrorFrame
 0.300478 1  ErrorFrame
 0.301845 1  ErrorFrame
 0.303219 1  ErrorFrame
 0.304565 1  ErrorFrame
 0.305941 1  ErrorFrame
 0.307280 1  ErrorFrame
 0.308636 1  ErrorFrame
 0.310002 1  ErrorFrame
 0.311356 1  ErrorFrame
 0.312754 1  ErrorFrame
 0.314082 1  ErrorFrame
 0.315439 1  ErrorFrame
 0.316803 1  ErrorFrame
 0.318158 1  ErrorFrame
 0.319517 1  ErrorFrame
 0.320888 1  ErrorFrame
 0.322264 1  ErrorFrame
 0.323602 1  ErrorFrame
 0.324997 1  ErrorFrame
 0.326322 1  ErrorFrame
 0.327678 1  ErrorFrame
 0.329044 1  ErrorFrame
 0.330397 1  ErrorFrame
 0.331757 1  ErrorFrame
 0.333138 1  ErrorFrame
 0.334482 1  ErrorFrame
 0.335841 1  ErrorFrame
 0.337199 1  ErrorFrame
 0.338583 1  ErrorFrame
 0.339919 1  ErrorFrame
 0.341277 1  ErrorFrame
 0.342637 1  ErrorFrame
 0.343997 1  ErrorFrame
 0.345356 1  ErrorFrame
 0.346717 1  ErrorFrame
 0.348079 1  ErrorFrame
 0.349440 1  ErrorFrame
 0.350800 1  ErrorFrame
 0.352157 1  ErrorFrame
 0.353564 1  ErrorFrame
 0.354909 1  ErrorFrame
 0.356243 1  ErrorFrame
 0.357604 1  ErrorFrame
 0.358959 1  ErrorFrame
 0.360317 1  ErrorFrame
 0.361680 1  ErrorFrame
 0.363041 1  ErrorFrame
 0.364405 1  ErrorFrame
 0.365757 1  ErrorFrame
 0.367115 1  ErrorFrame
 0.368477 1  ErrorFrame
 0.369842 1  ErrorFrame
 0.371214 1  ErrorFrame
 0.372558 1  ErrorFrame
 0.373934 1  ErrorFrame
 0.375280 1  ErrorFrame
 0.376636 1  ErrorFrame
 0.377999 1  ErrorFrame
 0.379352 1  ErrorFrame
 0.380715 1  ErrorFrame
 0.382078 1  ErrorFrame
 0.383439 1  ErrorFrame
 0.384796 1  ErrorFrame
 0.386169 1  ErrorFrame
 0.387518 1  ErrorFrame
 0.388894 1  ErrorFrame
 0.390241 1  ErrorFrame
 0.391598 1  ErrorFrame
 0.392989 1  ErrorFrame
 0.394335 1  ErrorFrame
 0.395688 1  ErrorFrame
 0.397049 1  ErrorFrame
 0.398398 1  ErrorFrame
 0.399755 1  ErrorFrame
 0.401122 1  ErrorFrame
 0.402478 1  ErrorFrame
 0.403864 1  ErrorFrame
 0.405220 1  ErrorFrame
 0.406558 1  ErrorFrame
 0.407916 1  ErrorFrame
 0.409276 1  ErrorFrame
 0.410638 1  ErrorFrame
 0.412002 1  ErrorFrame
 0.413359 1  ErrorFrame
 0.414725 1  ErrorFrame
 0.416079 1  ErrorFrame
 0.417439 1  ErrorFrame
 0.418803 1  ErrorFrame
 0.420158 1  ErrorFrame
 0.421527 1  ErrorFrame
 0.422891 1  ErrorFrame
 0.424241 1  ErrorFrame
 0.425603 1  ErrorFrame
 0.426960 1  ErrorFrame
 0.428323 1  ErrorFrame
 0.429680 1  ErrorFrame
 0.431038 1  ErrorFrame
 0.432399 1  ErrorFrame
 0.433757 1  ErrorFrame
 0.435137 1  ErrorFrame
 0.436482 1  ErrorFrame
 0.437866 1  ErrorFrame
 0.439212 1  ErrorFrame
 0.440556 1  ErrorFrame
 0.441917 1  ErrorFrame
 0.443277 1  ErrorFrame
 0.444641 1  ErrorFrame
 0.445998 1  ErrorFrame
 0.447357 1  ErrorFrame
 0.448717 1  ErrorFrame
 0.450079 1  ErrorFrame
 0.451466 1  ErrorFrame
 0.452806 1  ErrorFrame
 0.454202 1  ErrorFrame
 0.455544 1  ErrorFrame
 0.456877 1  ErrorFrame
 0.458245 1  ErrorFrame
 0.459608 1  ErrorFrame
 0.460990 1  ErrorFrame
 0.462315 1  ErrorFrame
 0.463674 1  ErrorFrame
 0.465040 1  ErrorFrame
 0.466403 1  ErrorFrame
 0.467757 1  ErrorFrame
 0.469119 1  ErrorFrame
 0.470473 1  ErrorFrame
 0.471846 1  ErrorFrame
 0.473197 1  ErrorFrame
 0.474555 1  ErrorFrame
 0.475930 1  ErrorFrame
 0.477278 1  ErrorFrame
 0.478635 1  ErrorFrame
 0.480016 1  ErrorFrame
 0.481383 1  ErrorFrame
 0.482723 1  ErrorFrame
 0.484077 1  ErrorFrame
 0.485440 1  ErrorFrame
 0.486797 1  ErrorFrame
 0.488170 1  ErrorFrame
 0.489518 1  ErrorFrame
 0.490886 1  ErrorFrame
 0.492259 1  ErrorFrame
 0.493686 1  ErrorFrame
 0.495031 1  ErrorFrame
 0.496363 1  ErrorFrame
 0.497678 1  ErrorFrame
 0.499030 1  ErrorFrame
 0.500387 1  ErrorFrame
 0.501753 1  ErrorFrame
 0.503135 1  ErrorFrame
 0.504473 1  ErrorFrame
 0.505906 1  ErrorFrame
 0.507228 1  ErrorFrame
 0.508635 1  ErrorFrame
 0.509979 1  ErrorFrame
 0.511300 1  ErrorFrame
 0.512706 1  ErrorFrame
 0.514101 1  ErrorFrame
 0.515582 1  ErrorFrame
 0.517056 1  ErrorFrame
 0.518264 1  ErrorFrame
 0.519579 1  ErrorFrame
 0.520888 1  ErrorFrame
 0.522323 1  ErrorFrame
 0.523645 1  ErrorFrame
 0.525084 1  ErrorFrame
 0.526553 1  ErrorFrame
 0.528002 1  ErrorFrame
 0.529456 1  ErrorFrame
 0.530426 1  ErrorFrame
 0.531746 1  ErrorFrame
 0.533133 1  ErrorFrame
 0.534497 1  ErrorFrame
 0.535895 1  ErrorFrame
 0.537297 1  ErrorFrame
 0.538571 1  ErrorFrame
 0.539898 1  ErrorFrame
 0.541235 1  ErrorFrame
 0.542570 1  ErrorFrame
 0.543939 1  ErrorFrame
 0.545291 1  ErrorFrame
 0.546655 1  ErrorFrame
 0.547989 1  ErrorFrame
 0.549354 1  ErrorFrame
 0.550705 1  ErrorFrame
 0.552069 1  ErrorFrame
 0.553434 1  ErrorFrame
 0.554817 1  ErrorFrame
 0.556169 1  ErrorFrame
 0.557518 1  ErrorFrame
 0.558872 1  ErrorFrame
 0.560228 1  ErrorFrame
 0.561635 1  ErrorFrame
 0.562969 1  ErrorFrame
 0.564307 1  ErrorFrame
 0.565667 1  ErrorFrame
 0.567044 1  ErrorFrame
 0.568448 1  ErrorFrame
 0.569751 1  ErrorFrame
 0.571111 1  ErrorFrame
 0.572478 1  ErrorFrame
 0.573864 1  ErrorFrame
 0.575208 1  ErrorFrame
 0.576583 1  ErrorFrame
 0.577939 1  ErrorFrame
 0.579273 1  ErrorFrame
 0.580632 1  ErrorFrame
 0.581989 1  ErrorFrame
 0.583349 1  ErrorFrame
 0.584711 1  ErrorFrame
 0.586070 1  ErrorFrame
 0.587434 1  ErrorFrame
 0.588840 1  ErrorFrame
 0.590154 1  ErrorFrame
 0.591510 1  ErrorFrame
 0.592870 1  ErrorFrame
 0.594235 1  ErrorFrame
 0.595596 1  ErrorFrame
 0.596995 1  ErrorFrame
 0.598310 1  ErrorFrame
 0.599677 1  ErrorFrame
 0.601037 1  ErrorFrame
 0.602389 1  ErrorFrame
 0.603750 1  ErrorFrame
 0.605139 1  ErrorFrame
 0.606476 1  ErrorFrame
 0.607832 1  ErrorFrame
 0.609211 1  ErrorFrame
 0.610560 1  ErrorFrame
 0.611912 1  ErrorFrame
 0.613275 1  ErrorFrame
 0.614633 1  ErrorFrame
 0.615990 1  ErrorFrame
 0.617351 1  ErrorFrame
 0.618729 1  ErrorFrame
 0.620076 1  ErrorFrame
 0.621454 1  ErrorFrame
 0.622792 1  ErrorFrame
 0.624148 1  ErrorFrame
 0.625510 1  ErrorFrame
 0.626873 1  ErrorFrame
 0.628233 1  ErrorFrame
 0.629619 1  ErrorFrame
 0.630958 1  ErrorFrame
 0.632313 1  ErrorFrame
 0.633673 1  ErrorFrame
 0.635031 1  ErrorFrame
 0.636395 1  ErrorFrame
 0.637752 1  ErrorFrame
 0.639135 1  ErrorFrame
 0.640473 1  ErrorFrame
 0.641842 1  ErrorFrame
 0.643191 1  ErrorFrame
 0.644549 1  ErrorFrame
