date Thu May 15 10:30:55.376 AM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Thu May 15 10:30:55.404 AM 2025
 0.000000 Start of measurement
 0.000000 1  ErrorFrame
 0.001289 1  ErrorFrame
 0.002537 1  ErrorFrame
 0.003752 1  ErrorFrame
 0.005381 1  ErrorFrame
 0.006312 1  ErrorFrame
 0.007548 1  ErrorFrame
 0.008846 1  ErrorFrame
 0.010140 1  ErrorFrame
 0.011446 1  ErrorFrame
 0.012688 1  ErrorFrame
 0.014034 1  ErrorFrame
 0.014075 1  ErrorFrame
 0.015368 1  ErrorFrame
 0.016537 1  ErrorFrame
 0.017795 1  ErrorFrame
 0.019104 1  ErrorFrame
 0.019124 1  ErrorFrame
 0.020403 1  ErrorFrame
 0.021772 1  ErrorFrame
 0.023128 1  ErrorFrame
 0.024476 1  ErrorFrame
 0.025831 1  ErrorFrame
 0.027189 1  ErrorFrame
 0.028614 1  ErrorFrame
 0.029989 1  ErrorFrame
 0.031398 1  ErrorFrame
 0.032734 1  ErrorFrame
 0.034116 1  ErrorFrame
 0.035424 1  ErrorFrame
 0.037015 1  ErrorFrame
 0.038121 1  ErrorFrame
 0.039487 1  ErrorFrame
 0.040854 1  ErrorFrame
 0.042216 1  ErrorFrame
 0.043653 1  ErrorFrame
 0.045053 1  ErrorFrame
 0.046345 1  ErrorFrame
 0.047675 1  ErrorFrame
 0.049015 1  ErrorFrame
 0.050355 1  ErrorFrame
 0.051686 1  ErrorFrame
 0.053050 1  ErrorFrame
 0.054425 1  ErrorFrame
 0.055767 1  ErrorFrame
 0.057123 1  ErrorFrame
 0.058477 1  ErrorFrame
 0.059880 1  ErrorFrame
 0.061209 1  ErrorFrame
 0.062557 1  ErrorFrame
 0.063921 1  ErrorFrame
 0.065294 1  ErrorFrame
 0.066643 1  ErrorFrame
 0.068044 1  ErrorFrame
 0.069371 1  ErrorFrame
 0.070727 1  ErrorFrame
 0.072102 1  ErrorFrame
 0.073445 1  ErrorFrame
 0.074799 1  ErrorFrame
 0.076165 1  ErrorFrame
 0.077525 1  ErrorFrame
 0.078876 1  ErrorFrame
 0.080246 1  ErrorFrame
 0.081609 1  ErrorFrame
 0.082962 1  ErrorFrame
 0.084315 1  ErrorFrame
 0.085697 1  ErrorFrame
 0.087039 1  ErrorFrame
 0.088415 1  ErrorFrame
 0.089763 1  ErrorFrame
 0.091111 1  ErrorFrame
 0.092483 1  ErrorFrame
 0.093837 1  ErrorFrame
 0.095197 1  ErrorFrame
 0.096556 1  ErrorFrame
 0.097925 1  ErrorFrame
 0.099278 1  ErrorFrame
 0.100664 1  ErrorFrame
 0.102000 1  ErrorFrame
 0.103360 1  ErrorFrame
 0.104731 1  ErrorFrame
 0.106090 1  ErrorFrame
 0.107447 1  ErrorFrame
 0.108800 1  ErrorFrame
 0.110157 1  ErrorFrame
 0.111526 1  ErrorFrame
 0.112882 1  ErrorFrame
 0.114239 1  ErrorFrame
 0.115599 1  ErrorFrame
 0.116962 1  ErrorFrame
 0.118322 1  ErrorFrame
 0.119679 1  ErrorFrame
 0.121043 1  ErrorFrame
 0.122414 1  ErrorFrame
 0.123765 1  ErrorFrame
 0.125125 1  ErrorFrame
 0.126489 1  ErrorFrame
 0.127839 1  ErrorFrame
 0.129203 1  ErrorFrame
 0.130565 1  ErrorFrame
 0.131918 1  ErrorFrame
 0.133277 1  ErrorFrame
 0.134642 1  ErrorFrame
 0.136030 1  ErrorFrame
 0.137366 1  ErrorFrame
 0.138735 1  ErrorFrame
 0.140088 1  ErrorFrame
 0.141438 1  ErrorFrame
 0.142800 1  ErrorFrame
 0.144161 1  ErrorFrame
 0.145522 1  ErrorFrame
 0.146890 1  ErrorFrame
 0.148240 1  ErrorFrame
 0.149629 1  ErrorFrame
 0.150993 1  ErrorFrame
 0.152328 1  ErrorFrame
 0.153697 1  ErrorFrame
 0.155067 1  ErrorFrame
 0.156404 1  ErrorFrame
 0.157763 1  ErrorFrame
 0.159123 1  ErrorFrame
 0.160482 1  ErrorFrame
 0.161845 1  ErrorFrame
 0.163198 1  ErrorFrame
 0.164596 1  ErrorFrame
 0.165931 1  ErrorFrame
 0.167289 1  ErrorFrame
 0.168646 1  ErrorFrame
 0.169999 1  ErrorFrame
 0.171383 1  ErrorFrame
 0.172730 1  ErrorFrame
 0.174075 1  ErrorFrame
 0.175433 1  ErrorFrame
 0.176799 1  ErrorFrame
 0.178162 1  ErrorFrame
 0.179513 1  ErrorFrame
 0.180877 1  ErrorFrame
 0.182246 1  ErrorFrame
 0.183603 1  ErrorFrame
 0.184963 1  ErrorFrame
 0.186320 1  ErrorFrame
 0.187706 1  ErrorFrame
 0.189045 1  ErrorFrame
 0.190400 1  ErrorFrame
 0.191765 1  ErrorFrame
 0.193120 1  ErrorFrame
 0.194475 1  ErrorFrame
 0.195835 1  ErrorFrame
 0.197208 1  ErrorFrame
 0.198561 1  ErrorFrame
 0.199917 1  ErrorFrame
 0.201302 1  ErrorFrame
 0.202641 1  ErrorFrame
 0.204042 1  ErrorFrame
 0.205377 1  ErrorFrame
 0.206724 1  ErrorFrame
 0.208103 1  ErrorFrame
 0.209454 1  ErrorFrame
 0.210799 1  ErrorFrame
 0.212160 1  ErrorFrame
 0.213525 1  ErrorFrame
 0.214879 1  ErrorFrame
 0.216236 1  ErrorFrame
 0.217596 1  ErrorFrame
 0.218956 1  ErrorFrame
 0.220320 1  ErrorFrame
 0.221694 1  ErrorFrame
 0.223038 1  ErrorFrame
 0.224399 1  ErrorFrame
 0.225762 1  ErrorFrame
 0.227119 1  ErrorFrame
 0.228491 1  ErrorFrame
 0.229840 1  ErrorFrame
 0.231198 1  ErrorFrame
 0.232560 1  ErrorFrame
 0.233918 1  ErrorFrame
 0.235275 1  ErrorFrame
 0.236644 1  ErrorFrame
 0.238029 1  ErrorFrame
 0.239377 1  ErrorFrame
 0.240723 1  ErrorFrame
 0.242083 1  ErrorFrame
 0.243441 1  ErrorFrame
 0.244799 1  ErrorFrame
 0.246162 1  ErrorFrame
 0.247524 1  ErrorFrame
 0.248904 1  ErrorFrame
 0.250248 1  ErrorFrame
 0.251623 1  ErrorFrame
 0.252972 1  ErrorFrame
 0.254339 1  ErrorFrame
 0.255678 1  ErrorFrame
 0.257037 1  ErrorFrame
 0.258404 1  ErrorFrame
 0.259761 1  ErrorFrame
 0.261119 1  ErrorFrame
 0.262476 1  ErrorFrame
 0.263836 1  ErrorFrame
 0.265211 1  ErrorFrame
 0.266560 1  ErrorFrame
 0.267924 1  ErrorFrame
 0.269326 1  ErrorFrame
 0.270663 1  ErrorFrame
 0.272048 1  ErrorFrame
 0.273421 1  ErrorFrame
 0.274725 1  ErrorFrame
 0.276088 1  ErrorFrame
 0.277445 1  ErrorFrame
 0.278800 1  ErrorFrame
 0.280160 1  ErrorFrame
 0.281514 1  ErrorFrame
 0.282874 1  ErrorFrame
 0.284245 1  ErrorFrame
 0.285599 1  ErrorFrame
 0.286961 1  ErrorFrame
 0.288330 1  ErrorFrame
 0.289701 1  ErrorFrame
 0.291041 1  ErrorFrame
 0.292400 1  ErrorFrame
 0.293762 1  ErrorFrame
 0.295119 1  ErrorFrame
 0.296475 1  ErrorFrame
 0.297835 1  ErrorFrame
 0.299193 1  ErrorFrame
 0.300567 1  ErrorFrame
 0.301936 1  ErrorFrame
 0.303282 1  ErrorFrame
 0.304657 1  ErrorFrame
 0.306002 1  ErrorFrame
 0.307361 1  ErrorFrame
 0.308722 1  ErrorFrame
 0.310095 1  ErrorFrame
 0.311439 1  ErrorFrame
 0.312799 1  ErrorFrame
 0.314160 1  ErrorFrame
 0.315524 1  ErrorFrame
 0.316889 1  ErrorFrame
 0.318240 1  ErrorFrame
 0.319600 1  ErrorFrame
 0.320962 1  ErrorFrame
 0.322331 1  ErrorFrame
 0.323678 1  ErrorFrame
 0.325036 1  ErrorFrame
 0.326397 1  ErrorFrame
 0.327762 1  ErrorFrame
 0.329121 1  ErrorFrame
 0.330498 1  ErrorFrame
 0.331843 1  ErrorFrame
 0.333204 1  ErrorFrame
 0.334556 1  ErrorFrame
 0.335915 1  ErrorFrame
 0.337278 1  ErrorFrame
 0.338656 1  ErrorFrame
 0.340043 1  ErrorFrame
 0.341393 1  ErrorFrame
 0.342724 1  ErrorFrame
 0.344088 1  ErrorFrame
 0.345439 1  ErrorFrame
 0.346798 1  ErrorFrame
 0.348161 1  ErrorFrame
 0.349523 1  ErrorFrame
